nohup: ignoring input
Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive
153 1759217626.8958313 0.07919573783874512
154 1759217626.9581153 0.062210798263549805
155 1759217627.0327287 0.07451939582824707
156 1759217627.1145492 0.08172130584716797
157 1759217627.1849098 0.07024669647216797
158 1759217627.2641013 0.07904982566833496
159 1759217627.3335264 0.06930303573608398
160 1759217627.4378693 0.10425734519958496
161 1759217627.5113144 0.07332348823547363
162 1759217627.5754604 0.06405901908874512
163 1759217627.6583433 0.08275437355041504
164 1759217627.7290714 0.07061910629272461
165 1759217627.7969677 0.06772947311401367
166 1759217627.8694434 0.07238578796386719
167 1759217627.934674 0.06517267227172852
168 1759217628.013688 0.07891154289245605
169 1759217628.0891767 0.07537007331848145
170 1759217628.161965 0.07270622253417969
171 1759217628.2412207 0.07916951179504395
172 1759217628.3284984 0.08714723587036133
173 1759217628.4170105 0.0883646011352539
174 1759217628.4901018 0.07294964790344238
175 1759217628.5618303 0.07160162925720215
176 1759217628.6317952 0.06987142562866211
177 1759217628.695094 0.06321287155151367
178 1759217628.766217 0.07093548774719238
179 1759217628.8550527 0.08873844146728516
180 1759217628.9265652 0.07140302658081055
181 1759217629.004884 0.07818078994750977
182 1759217629.0716999 0.06670451164245605
183 1759217629.1400747 0.06826639175415039
184 1759217629.2002292 0.060010433197021484
185 1759217629.279739 0.0794076919555664
186 1759217629.3541317 0.07427859306335449
187 1759217629.4192307 0.06499218940734863
188 1759217629.5487125 0.12940311431884766
189 1759217629.60938 0.060585737228393555
190 1759217629.6774197 0.06792521476745605
191 1759217629.7426414 0.06512022018432617
192 1759217629.8046455 0.06192636489868164
193 1759217629.8860085 0.08130717277526855
194 1759217629.9565058 0.0704188346862793
195 1759217630.0197747 0.06318235397338867
196 1759217630.1253946 0.1055290699005127
197 1759217630.2020187 0.07649350166320801
198 1759217630.2749252 0.07277202606201172
199 1759217630.3466606 0.07162046432495117
Total time: 16.903460025787354
Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_2_2/value_distribution_2_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_2_2/value_distribution_2_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_2_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive
0 1759217630.6962018 0.08685898780822754
1 1759217630.7600863 0.06379985809326172
2 1759217630.821664 0.06151580810546875
3 1759217630.8903031 0.06858086585998535
4 1759217630.9647932 0.07442665100097656
5 1759217631.0296502 0.06479334831237793
6 1759217631.1006284 0.07086610794067383
7 1759217631.1760302 0.07531571388244629
8 1759217631.2497022 0.07359147071838379
9 1759217631.3231835 0.07338690757751465
10 1759217631.3897824 0.0665130615234375
11 1759217631.4519966 0.062103986740112305
12 1759217631.5213048 0.06920170783996582
13 1759217631.5867732 0.06535911560058594
14 1759217631.6516511 0.06478071212768555
15 1759217631.7283733 0.07661628723144531
16 1759217631.796064 0.06757140159606934
17 1759217631.8658373 0.06962108612060547
18 1759217631.9602032 0.09425520896911621
19 1759217632.0659406 0.10564899444580078
20 1759217632.1417658 0.0757296085357666
21 1759217632.2214217 0.07956409454345703
22 1759217632.2921069 0.0706021785736084
23 1759217632.3674855 0.0752570629119873
24 1759217632.4459436 0.07837772369384766
25 1759217632.5158622 0.06980347633361816
26 1759217632.589609 0.07365894317626953
27 1759217632.7139966 0.12424969673156738
28 1759217632.7855136 0.07138371467590332
29 1759217632.8594012 0.0737600326538086
30 1759217632.9345324 0.07500958442687988
31 1759217632.9980497 0.06339907646179199
32 1759217633.097046 0.09880447387695312
33 1759217633.169704 0.07250380516052246
34 1759217633.2450483 0.07526946067810059
